subj,run,phase,scheme,auc
7,6,OFFSET,FIX,0.9898148148148148
7,6,OFFSET,TASK,0.43296296296296294
7,6,ONSET,FIX,0.9732665553700612
7,6,ONSET,TASK,0.18490818030050082
7,7,OFFSET,FIX,0.9605555555555556
7,7,OFFSET,TASK,0.2103968253968254
7,7,ONSET,FIX,0.9708952672124224
7,7,ONSET,TASK,0.23973691091578334
7,8,OFFSET,FIX,0.9891666666666666
7,8,OFFSET,TASK,0.33525
7,8,ONSET,FIX,0.9706676236094425
7,8,ONSET,TASK,0.11452108654611268
8,1,OFFSET,FIX,0.9894775301424917
8,1,OFFSET,TASK,0.9601753744976251
8,1,ONSET,FIX,0.9674549549549549
8,1,ONSET,TASK,0.940563063063063
8,2,OFFSET,FIX,0.9818181818181818
8,2,OFFSET,TASK,0.9185637891520244
8,2,ONSET,FIX,0.9685300925925926
8,2,ONSET,TASK,0.9460532407407407
8,3,OFFSET,FIX,0.9685979655019903
8,3,OFFSET,TASK,0.8935869084475896
8,3,ONSET,FIX,0.9647619047619047
8,3,ONSET,TASK,0.9381666666666667
8,4,OFFSET,FIX,0.9576776165011459
8,4,OFFSET,TASK,0.8948815889992361
8,4,ONSET,FIX,0.9615714285714285
8,4,ONSET,TASK,0.8976190476190476
8,5,OFFSET,FIX,0.5675070028011204
8,5,OFFSET,TASK,0.4000800320128051
8,5,ONSET,FIX,0.7332482993197279
8,5,ONSET,TASK,0.501360544217687
8,6,OFFSET,FIX,0.3453287197231834
8,6,OFFSET,TASK,0.1852694018783984
8,6,ONSET,FIX,0.6511111111111111
8,6,ONSET,TASK,0.43742424242424244
8,7,OFFSET,FIX,0.033225597931480284
8,7,OFFSET,TASK,0.0019392372333548805
8,7,ONSET,FIX,0.7120531400966184
8,7,ONSET,TASK,0.33152173913043476
8,8,OFFSET,FIX,0.5430099312452253
8,8,OFFSET,TASK,0.15966386554621848
8,8,ONSET,FIX,0.5789632545931759
8,8,ONSET,TASK,0.31520341207349084
9,1,OFFSET,FIX,0.8190277777777778
9,1,OFFSET,TASK,1.0
9,1,ONSET,FIX,0.9754858385910139
9,1,ONSET,TASK,0.9756303796370575
9,2,OFFSET,FIX,0.8678787878787879
9,2,OFFSET,TASK,1.0
9,2,ONSET,FIX,0.9300714222953042
9,2,ONSET,TASK,0.9402010870247405
9,3,OFFSET,FIX,0.9394791666666666
9,3,OFFSET,TASK,1.0
9,3,ONSET,FIX,0.9366428710427399
9,3,ONSET,TASK,0.9426549361410121
9,4,OFFSET,FIX,0.914375
9,4,OFFSET,TASK,0.90375
9,4,ONSET,FIX,0.9670191059172695
9,4,ONSET,TASK,0.9688740493414951
9,5,OFFSET,FIX,0.9983823529411765
9,5,OFFSET,TASK,0.9795098039215686
9,5,ONSET,FIX,0.8155258764607679
9,5,ONSET,TASK,0.5267111853088481
9,6,OFFSET,FIX,1.0
9,6,OFFSET,TASK,0.999702380952381
9,6,ONSET,FIX,0.96380228308442
9,6,ONSET,TASK,0.8276519424265668
9,7,OFFSET,FIX,0.9996794871794872
9,7,OFFSET,TASK,0.9998717948717949
9,7,ONSET,FIX,0.9882437115079755
9,7,ONSET,TASK,0.9026107939001978
9,8,OFFSET,FIX,1.0
9,8,OFFSET,TASK,1.0
9,8,ONSET,FIX,0.9920974848791702
9,8,ONSET,TASK,0.9202153862995703
